utterance_id,activation,valence,dominance,activation_norm,valence_norm,dominance_norm,source_file,text
Ses01M_script02_M011,2,4,2,0.25,0.75,0.25,Ses01M_atr.txt,The news made me sleepy.
Ses01M_script02_M012,2,3,2,0.25,0.5,0.25,Ses01M_atr.txt,The conversation left me feeling uncertain.
Ses01M_impro02_M013,5,2,3,1.0,0.25,0.5,Ses01M_atr.txt,"I was electrified at first, but after thinking about it, I feel excited."
Ses01F_impro02_F014,4,1,5,0.75,0.0,1.0,Ses01F_atr.txt,I can't help but feel capable right now.
Ses01F_script02_F015,4,1,3,0.75,0.0,0.5,Ses01F_atr.txt,The meeting was capable and productive.
Ses01F_impro02_F016,1,5,4,0.0,1.0,0.75,Ses01F_atr.txt,Everything seems tired at the moment.
Ses01M_script02_M017,2,2,4,0.25,0.25,0.75,Ses01M_atr.txt,I'm tragic because of the recent events.
Ses01M_impro02_M018,5,2,3,1.0,0.25,0.5,Ses01M_atr.txt,The results made everyone dynamic.
Ses01F_script02_F019,3,4,4,0.5,0.75,0.75,Ses01F_atr.txt,I feel intense today.
Ses01M_script03_M001,2,3,4,0.25,0.5,0.75,Ses01M_atr.txt,I can't help but feel awesome right now.
Ses01F_impro03_F002,5,3,4,1.0,0.5,0.75,Ses01F_atr.txt,That experience was authoritative.
Ses01M_impro03_M003,2,4,3,0.25,0.75,0.5,Ses01M_atr.txt,"I was amazing at first, but after thinking about it, I feel positive."
Ses01F_script03_F004,3,3,3,0.5,0.5,0.5,Ses01F_atr.txt,The team is electrified about the project.
Ses01F_impro03_F005,5,4,4,1.0,0.75,0.75,Ses01F_atr.txt,I feel intense today.
Ses01F_impro03_F006,3,4,3,0.5,0.75,0.5,Ses01F_atr.txt,"While the presentation was charged, the audience response was glad."
Ses01F_script03_F007,5,2,3,1.0,0.25,0.5,Ses01F_atr.txt,The results made everyone eager.
Ses01F_script03_F008,1,4,3,0.0,0.75,0.5,Ses01F_atr.txt,The feedback was satisfied and helpful.
Ses01F_script03_F009,5,2,5,1.0,0.25,1.0,Ses01F_atr.txt,"The project started out passionate, but ended up being quite masterful."
Ses01M_impro03_M010,1,4,4,0.0,0.75,0.75,Ses01M_atr.txt,Everything seems dominant at the moment.
Ses01F_impro03_F011,4,3,3,0.75,0.5,0.5,Ses01F_atr.txt,The news made me amazing.
Ses01F_script03_F012,4,5,2,0.75,1.0,0.25,Ses01F_atr.txt,The results made everyone content.
Ses01M_script03_M013,2,3,2,0.25,0.5,0.25,Ses01M_atr.txt,I'm in a detached mood.
Ses01F_impro03_F014,1,2,1,0.0,0.25,0.0,Ses01F_atr.txt,The movie had a serene beginning but a uninterested ending.
Ses01M_script03_M015,2,5,2,0.25,1.0,0.25,Ses01M_atr.txt,"Although the situation seems relaxed, I believe it will become bored soon."
Ses01M_impro03_M016,3,2,2,0.5,0.25,0.25,Ses01M_atr.txt,"Although the situation seems negative, I believe it will become miserable soon."
Ses01F_impro03_F017,5,2,3,1.0,0.25,0.5,Ses01F_atr.txt,"The feedback was mostly depressed, with some thrilled comments mixed in."
Ses01F_impro03_F018,1,2,5,0.0,0.25,1.0,Ses01F_atr.txt,"The feedback was mostly unpleasant, with some efficient comments mixed in."
Ses01M_impro03_M019,3,4,2,0.5,0.75,0.25,Ses01M_atr.txt,The meeting was beautiful and productive.
Ses01F_script04_F001,5,2,5,1.0,0.25,1.0,Ses01F_atr.txt,"I was eager at first, but after thinking about it, I feel alert."
Ses01M_impro04_M002,3,1,2,0.5,0.0,0.25,Ses01M_atr.txt,"While the presentation was sad, the audience response was bored."
Ses01M_script04_M003,4,4,2,0.75,0.75,0.25,Ses01M_atr.txt,That experience was elated.
Ses01F_script04_F004,5,2,4,1.0,0.25,0.75,Ses01F_atr.txt,"Despite feeling agitated about the challenge, I approached it with a skilled attitude."
Ses01M_impro04_M005,4,5,2,0.75,1.0,0.25,Ses01M_atr.txt,This situation makes me feel good.
Ses01M_impro04_M006,2,3,1,0.25,0.5,0.0,Ses01M_atr.txt,The feedback was subdued and helpful.
Ses01F_impro04_F007,5,1,1,1.0,0.0,0.0,Ses01F_atr.txt,I've been feeling gloomy lately.
Ses01M_impro04_M008,4,5,3,0.75,1.0,0.5,Ses01M_atr.txt,The situation is capable for all of us.
Ses01M_impro04_M009,4,5,5,0.75,1.0,1.0,Ses01M_atr.txt,The conversation left me feeling effective.
Ses01M_impro04_M010,4,1,1,0.75,0.0,0.0,Ses01M_atr.txt,The results made everyone unfortunate.
Ses01M_script04_M011,4,4,3,0.75,0.75,0.5,Ses01M_atr.txt,Everything seems cheerful at the moment.
Ses01F_script04_F012,1,5,3,0.0,1.0,0.5,Ses01F_atr.txt,"The team was delighted about the deadline, but efficient about the quality of work."
Ses01M_impro04_M013,2,5,4,0.25,1.0,0.75,Ses01M_atr.txt,"Although the situation seems dull, I believe it will become subdued soon."
Ses01F_impro04_F014,4,5,2,0.75,1.0,0.25,Ses01F_atr.txt,I'm in a ecstatic mood.
Ses01F_impro04_F015,3,5,5,0.5,1.0,1.0,Ses01F_atr.txt,The conversation left me feeling effective.
Ses01M_impro04_M016,3,2,1,0.5,0.25,0.0,Ses01M_atr.txt,The atmosphere feels distressed.
Ses01F_impro04_F017,3,2,4,0.5,0.25,0.75,Ses01F_atr.txt,I'm in a dismal mood.
Ses01F_impro04_F018,5,2,3,1.0,0.25,0.5,Ses01F_atr.txt,The conversation left me feeling bold.
Ses01M_script04_M019,3,1,2,0.5,0.0,0.25,Ses01M_atr.txt,The meeting was incapable and productive.
Ses01M_script05_M001,5,2,4,1.0,0.25,0.75,Ses01M_atr.txt,I am active about what happened.
Ses01M_script05_M002,1,2,4,0.0,0.25,0.75,Ses01M_atr.txt,That experience was placid.
Ses01M_script05_M003,1,5,3,0.0,1.0,0.5,Ses01M_atr.txt,What started as a effective conversation quickly turned bold.
Ses01F_script05_F004,5,4,1,1.0,0.75,0.0,Ses01F_atr.txt,I can't help but feel passionate right now.
Ses01F_impro05_F005,5,2,4,1.0,0.25,0.75,Ses01F_atr.txt,"The team was excited about the deadline, but commanding about the quality of work."
Ses01F_impro05_F006,4,1,5,0.75,0.0,1.0,Ses01F_atr.txt,I'm distressed because of the recent events.
Ses01F_impro05_F007,4,2,1,0.75,0.25,0.0,Ses01F_atr.txt,"While the presentation was unpleasant, the audience response was subordinate."
Ses01F_impro05_F008,4,2,3,0.75,0.25,0.5,Ses01F_atr.txt,"The project started out thrilled, but ended up being quite competent."
Ses01M_script05_M009,1,2,2,0.0,0.25,0.25,Ses01M_atr.txt,I feel powerless today.
Ses01F_script05_F010,2,1,4,0.25,0.0,0.75,Ses01F_atr.txt,My day has been lethargic.
Ses01M_script05_M011,5,4,2,1.0,0.75,0.25,Ses01M_atr.txt,The news made me frantic.
Ses01F_script05_F012,4,4,1,0.75,0.75,0.0,Ses01F_atr.txt,I am inferior about what happened.
Ses01M_script05_M013,1,2,5,0.0,0.25,1.0,Ses01M_atr.txt,The results made everyone tranquil.
Ses01F_script05_F014,4,5,3,0.75,1.0,0.5,Ses01F_atr.txt,"While the presentation was happy, the audience response was frantic."
Ses01M_impro05_M015,3,3,4,0.5,0.5,0.75,Ses01M_atr.txt,My day has been cheerful.
Ses01F_script05_F016,1,1,2,0.0,0.0,0.25,Ses01F_atr.txt,My day has been mellow.
Ses01F_impro05_F017,3,3,5,0.5,0.5,1.0,Ses01F_atr.txt,The situation is competent for all of us.
Ses01F_impro05_F018,1,3,4,0.0,0.5,0.75,Ses01F_atr.txt,Everything seems influential at the moment.
Ses01M_script05_M019,1,3,5,0.0,0.5,1.0,Ses01M_atr.txt,I am wonderful about what happened.
Ses01M_script06_M001,4,2,4,0.75,0.25,0.75,Ses01M_atr.txt,The team is negative about the project.
Ses01F_script06_F002,2,1,5,0.25,0.0,1.0,Ses01F_atr.txt,The situation is dreadful for all of us.
Ses01M_script06_M003,3,1,4,0.5,0.0,0.75,Ses01M_atr.txt,Everything seems downcast at the moment.
Ses01F_impro06_F004,3,3,2,0.5,0.5,0.25,Ses01F_atr.txt,"The team was exhilarated about the deadline, but lively about the quality of work."
Ses01M_impro06_M005,2,2,2,0.25,0.25,0.25,Ses01M_atr.txt,"I was bad at first, but after thinking about it, I feel upset."
Ses01F_script06_F006,3,2,1,0.5,0.25,0.0,Ses01F_atr.txt,Everything seems unfortunate at the moment.
Ses01M_impro06_M007,2,3,1,0.25,0.5,0.0,Ses01M_atr.txt,The atmosphere feels gentle.
Ses01M_script06_M008,5,2,2,1.0,0.25,0.25,Ses01M_atr.txt,The situation is dejected for all of us.
Ses01F_impro06_F009,3,5,5,0.5,1.0,1.0,Ses01F_atr.txt,I am cheerful about what happened.
Ses01M_script06_M010,4,4,5,0.75,0.75,1.0,Ses01M_atr.txt,"While the presentation was great, the audience response was thrilled."
Ses01F_impro06_F011,2,5,4,0.25,1.0,0.75,Ses01F_atr.txt,"Despite feeling excellent about the challenge, I approached it with a authoritative attitude."
Ses01M_impro06_M012,5,1,5,1.0,0.0,1.0,Ses01M_atr.txt,The movie had a dominant beginning but a miserable ending.
Ses01M_impro06_M013,5,4,4,1.0,0.75,0.75,Ses01M_atr.txt,The feedback was content and helpful.
Ses01M_impro06_M014,1,3,4,0.0,0.5,0.75,Ses01M_atr.txt,My day has been strong.
Ses01F_impro06_F015,5,5,3,1.0,1.0,0.5,Ses01F_atr.txt,"I was amazing at first, but after thinking about it, I feel skilled."
Ses01M_impro06_M016,4,5,1,0.75,1.0,0.0,Ses01M_atr.txt,I can't help but feel anxious right now.
Ses01F_impro06_F017,5,5,3,1.0,1.0,0.5,Ses01F_atr.txt,I've been feeling grateful lately.
Ses01F_impro06_F018,3,2,1,0.5,0.25,0.0,Ses01F_atr.txt,I've been feeling dreadful lately.
Ses01F_impro06_F019,3,3,1,0.5,0.5,0.0,Ses01F_atr.txt,The feedback was weak and helpful.
Ses01F_impro07_F001,4,3,2,0.75,0.5,0.25,Ses01F_atr.txt,The feedback was alert and helpful.
Ses01F_impro07_F002,4,4,3,0.75,0.75,0.5,Ses01F_atr.txt,The conversation left me feeling hyper.
Ses01F_script07_F003,5,1,4,1.0,0.0,0.75,Ses01F_atr.txt,"The team was brave about the deadline, but dreadful about the quality of work."
Ses01F_impro07_F004,5,1,3,1.0,0.0,0.5,Ses01F_atr.txt,I am lively about what happened.
Ses01M_script07_M005,4,2,3,0.75,0.25,0.5,Ses01M_atr.txt,The movie had a brave beginning but a frantic ending.
Ses01F_impro07_F006,1,1,2,0.0,0.0,0.25,Ses01F_atr.txt,Everything seems upset at the moment.
Ses01F_script07_F007,2,4,3,0.25,0.75,0.5,Ses01F_atr.txt,Everything seems excited at the moment.
Ses01M_impro07_M008,4,2,1,0.75,0.25,0.0,Ses01M_atr.txt,My day has been helpless.
Ses01F_script07_F009,3,5,4,0.5,1.0,0.75,Ses01F_atr.txt,What started as a commanding conversation quickly turned excited.
Ses01F_impro07_F010,1,1,3,0.0,0.0,0.5,Ses01F_atr.txt,"I was subdued at first, but after thinking about it, I feel dreadful."
Ses01M_script07_M011,3,1,2,0.5,0.0,0.25,Ses01M_atr.txt,The feedback was depressed and helpful.
Ses01M_impro07_M012,2,1,3,0.25,0.0,0.5,Ses01M_atr.txt,"While the presentation was bad, the audience response was indifferent."
Ses01M_impro07_M013,2,5,2,0.25,1.0,0.25,Ses01M_atr.txt,This outcome is apathetic for me.
Ses01M_impro07_M014,3,3,3,0.5,0.5,0.5,Ses01M_atr.txt,The atmosphere feels capable.
Ses01M_impro07_M015,2,3,2,0.25,0.5,0.25,Ses01M_atr.txt,The feedback was glad and helpful.
Ses01F_impro07_F016,3,5,4,0.5,1.0,0.75,Ses01F_atr.txt,I am positive about what happened.
Ses01M_impro07_M017,4,1,1,0.75,0.0,0.0,Ses01M_atr.txt,The conversation left me feeling subordinate.
Ses01M_script07_M018,5,4,2,1.0,0.75,0.25,Ses01M_atr.txt,The meeting was cheerful and productive.
Ses01F_impro07_F019,1,5,5,0.0,1.0,1.0,Ses01F_atr.txt,The atmosphere feels elated.
Ses01F_script08_F001,5,4,5,1.0,0.75,1.0,Ses01F_atr.txt,What started as a positive conversation quickly turned fearless.
Ses01M_script08_M002,1,5,5,0.0,1.0,1.0,Ses01M_atr.txt,Everything seems wonderful at the moment.
Ses01M_script08_M003,2,2,2,0.25,0.25,0.25,Ses01M_atr.txt,I am disappointed about what happened.
Ses01F_impro08_F004,2,2,1,0.25,0.25,0.0,Ses01F_atr.txt,We were all insecure after hearing the news.
Ses01M_script08_M005,5,4,1,1.0,0.75,0.0,Ses01M_atr.txt,"Although the situation seems fearful, I believe it will become frantic soon."
Ses01F_script08_F006,2,3,4,0.25,0.5,0.75,Ses01F_atr.txt,I'm dull because of the recent events.
Ses01M_script08_M007,5,3,3,1.0,0.5,0.5,Ses01M_atr.txt,"Despite feeling fearless about the challenge, I approached it with a cheerful attitude."
Ses01F_script08_F008,4,1,1,0.75,0.0,0.0,Ses01F_atr.txt,The meeting was horrible and productive.
Ses01M_script08_M009,5,5,3,1.0,1.0,0.5,Ses01M_atr.txt,This situation makes me feel ecstatic.
Ses01F_script08_F010,1,3,3,0.0,0.5,0.5,Ses01F_atr.txt,"The feedback was mostly detached, with some detached comments mixed in."
Ses01F_script08_F011,4,3,2,0.75,0.5,0.25,Ses01F_atr.txt,"I've been feeling ineffective all day, but now I'm starting to feel hyper."
Ses01M_impro08_M012,2,3,4,0.25,0.5,0.75,Ses01M_atr.txt,We were all terrific after hearing the news.
Ses01M_script08_M013,4,5,2,0.75,1.0,0.25,Ses01M_atr.txt,Everything seems unskilled at the moment.
Ses01F_impro08_F014,4,5,3,0.75,1.0,0.5,Ses01F_atr.txt,What started as a wonderful conversation quickly turned confident.
Ses01F_impro08_F015,2,3,3,0.25,0.5,0.5,Ses01F_atr.txt,I'm in a lovely mood.
Ses01F_impro08_F016,4,5,2,0.75,1.0,0.25,Ses01F_atr.txt,This situation makes me feel weak.
Ses01M_script08_M017,1,1,5,0.0,0.0,1.0,Ses01M_atr.txt,"I've been feeling awful all day, but now I'm starting to feel gloomy."
Ses01F_impro08_F018,4,3,3,0.75,0.5,0.5,Ses01F_atr.txt,I'm in a wonderful mood.
Ses01M_script08_M019,3,4,3,0.5,0.75,0.5,Ses01M_atr.txt,This outcome is excited for me.
Ses01F_script09_F001,4,4,1,0.75,0.75,0.0,Ses01F_atr.txt,The feedback was content and helpful.
Ses01F_impro09_F002,1,1,5,0.0,0.0,1.0,Ses01F_atr.txt,The atmosphere feels bored.
Ses01M_script09_M003,4,3,3,0.75,0.5,0.5,Ses01M_atr.txt,I feel electrified today.
Ses01M_impro09_M004,1,5,5,0.0,1.0,1.0,Ses01M_atr.txt,"The team was positive about the deadline, but delighted about the quality of work."
Ses01F_impro09_F005,2,4,1,0.25,0.75,0.0,Ses01F_atr.txt,We were all peaceful after hearing the news.
Ses01M_script09_M006,2,1,1,0.25,0.0,0.0,Ses01M_atr.txt,The situation is shy for all of us.
Ses01M_impro09_M007,3,2,2,0.5,0.25,0.25,Ses01M_atr.txt,"Despite feeling incompetent about the challenge, I approached it with a unfortunate attitude."
Ses01M_impro09_M008,4,5,2,0.75,1.0,0.25,Ses01M_atr.txt,Everything seems aroused at the moment.
Ses01M_impro09_M009,1,4,2,0.0,0.75,0.25,Ses01M_atr.txt,This outcome is peaceful for me.
Ses01F_impro09_F010,2,2,5,0.25,0.25,1.0,Ses01F_atr.txt,We were all serene after hearing the news.
Ses01F_script09_F011,4,5,4,0.75,1.0,0.75,Ses01F_atr.txt,I feel forceful today.
Ses01M_impro09_M012,2,4,1,0.25,0.75,0.0,Ses01M_atr.txt,The conversation left me feeling peaceful.
Ses01F_script09_F013,1,2,4,0.0,0.25,0.75,Ses01F_atr.txt,The team is unfortunate about the project.
Ses01M_impro09_M014,3,5,4,0.5,1.0,0.75,Ses01M_atr.txt,The situation is assertive for all of us.
Ses01F_impro09_F015,3,2,1,0.5,0.25,0.0,Ses01F_atr.txt,"The team was agitated about the deadline, but miserable about the quality of work."
Ses01F_script09_F016,2,4,1,0.25,0.75,0.0,Ses01F_atr.txt,That experience was drowsy.
Ses01M_script09_M017,3,5,1,0.5,1.0,0.0,Ses01M_atr.txt,"Despite feeling cheerful about the challenge, I approached it with a unskilled attitude."
Ses01F_script09_F018,1,2,3,0.0,0.25,0.5,Ses01F_atr.txt,"I was controlling at first, but after thinking about it, I feel uninterested."
Ses01F_script09_F019,4,1,4,0.75,0.0,0.75,Ses01F_atr.txt,Everything seems capable at the moment.
Ses01M_script10_M001,5,2,5,1.0,0.25,1.0,Ses01M_atr.txt,The conversation left me feeling frenzied.
Ses01M_impro10_M002,3,4,4,0.5,0.75,0.75,Ses01M_atr.txt,My day has been content.
Ses01M_impro10_M003,5,4,1,1.0,0.75,0.0,Ses01M_atr.txt,We were all beautiful after hearing the news.
Ses01F_script10_F004,1,5,2,0.0,1.0,0.25,Ses01F_atr.txt,The team is subdued about the project.
Ses01F_impro10_F005,1,2,1,0.0,0.25,0.0,Ses01F_atr.txt,This outcome is still for me.
Ses01F_script10_F006,5,5,4,1.0,1.0,0.75,Ses01F_atr.txt,The situation is frantic for all of us.
Ses01F_impro10_F007,2,1,5,0.25,0.0,1.0,Ses01F_atr.txt,"Although the situation seems sorrowful, I believe it will become mighty soon."
Ses01M_script10_M008,1,3,2,0.0,0.5,0.25,Ses01M_atr.txt,The conversation left me feeling uninterested.
Ses01M_impro10_M009,4,4,5,0.75,0.75,1.0,Ses01M_atr.txt,The feedback was eager and helpful.
Ses01F_impro10_F010,3,3,3,0.5,0.5,0.5,Ses01F_atr.txt,That experience was satisfied.
Ses01F_script10_F011,3,3,1,0.5,0.5,0.0,Ses01F_atr.txt,Everything seems doubtful at the moment.
Ses01M_impro10_M012,2,1,2,0.25,0.0,0.25,Ses01M_atr.txt,I feel sorrowful today.
Ses01M_script10_M013,2,3,4,0.25,0.5,0.75,Ses01M_atr.txt,The results made everyone assertive.
Ses01F_impro10_F014,3,1,5,0.5,0.0,1.0,Ses01F_atr.txt,The atmosphere feels enthusiastic.
Ses01F_impro10_F015,2,3,3,0.25,0.5,0.5,Ses01F_atr.txt,The situation is glad for all of us.
Ses01M_impro10_M016,5,1,5,1.0,0.0,1.0,Ses01M_atr.txt,My day has been downcast.
Ses01F_impro10_F017,2,3,3,0.25,0.5,0.5,Ses01F_atr.txt,My day has been satisfied.
Ses01M_script10_M018,2,2,5,0.25,0.25,1.0,Ses01M_atr.txt,My day has been mellow.
Ses01F_impro10_F019,2,2,3,0.25,0.25,0.5,Ses01F_atr.txt,I'm in a peaceful mood.
Ses01F_script11_F001,3,5,5,0.5,1.0,1.0,Ses01F_atr.txt,The news made me lively.
Ses01F_script11_F002,4,2,2,0.75,0.25,0.25,Ses01F_atr.txt,"I've been feeling charged all day, but now I'm starting to feel doubtful."
Ses01F_impro11_F003,1,5,1,0.0,1.0,0.0,Ses01F_atr.txt,"The team was uninterested about the deadline, but bored about the quality of work."
Ses01F_script11_F004,4,5,2,0.75,1.0,0.25,Ses01F_atr.txt,I am wild about what happened.
Ses01M_impro11_M005,3,2,2,0.5,0.25,0.25,Ses01M_atr.txt,"I was inferior at first, but after thinking about it, I feel peaceful."
Ses01F_impro11_F006,2,4,5,0.25,0.75,1.0,Ses01F_atr.txt,The news made me decisive.
Ses01F_impro11_F007,4,5,1,0.75,1.0,0.0,Ses01F_atr.txt,The meeting was joyful and productive.
Ses01F_script11_F008,2,4,2,0.25,0.75,0.25,Ses01F_atr.txt,The conversation left me feeling beautiful.
Ses01F_impro11_F009,1,5,2,0.0,1.0,0.25,Ses01F_atr.txt,The team is subdued about the project.
Ses01F_script11_F010,4,3,1,0.75,0.5,0.0,Ses01F_atr.txt,"The feedback was mostly inadequate, with some hesitant comments mixed in."
Ses01M_script11_M011,3,5,5,0.5,1.0,1.0,Ses01M_atr.txt,"The feedback was mostly excited, with some pleased comments mixed in."
Ses01M_script11_M012,3,3,5,0.5,0.5,1.0,Ses01M_atr.txt,"The team was stimulated about the deadline, but commanding about the quality of work."
Ses01F_script11_F013,4,1,2,0.75,0.0,0.25,Ses01F_atr.txt,The atmosphere feels tragic.
Ses01M_impro11_M014,5,4,1,1.0,0.75,0.0,Ses01M_atr.txt,"Although the situation seems shy, I believe it will become shy soon."
Ses01M_impro11_M015,3,4,5,0.5,0.75,1.0,Ses01M_atr.txt,"I was beautiful at first, but after thinking about it, I feel beautiful."
Ses01F_script11_F016,5,1,3,1.0,0.0,0.5,Ses01F_atr.txt,I'm in a awful mood.
Ses01M_impro11_M017,1,1,2,0.0,0.0,0.25,Ses01M_atr.txt,I am serene about what happened.
Ses01F_script11_F018,3,5,2,0.5,1.0,0.25,Ses01F_atr.txt,"While the presentation was fantastic, the audience response was vigorous."
Ses01M_impro11_M019,4,5,5,0.75,1.0,1.0,Ses01M_atr.txt,I'm active because of the recent events.
Ses01M_impro12_M001,3,5,2,0.5,1.0,0.25,Ses01M_atr.txt,"While the presentation was delighted, the audience response was doubtful."
Ses01M_script12_M002,5,2,3,1.0,0.25,0.5,Ses01M_atr.txt,"The team was assertive about the deadline, but alert about the quality of work."
Ses01F_impro12_F003,4,2,3,0.75,0.25,0.5,Ses01F_atr.txt,I am efficient about what happened.
Ses01F_script12_F004,4,2,5,0.75,0.25,1.0,Ses01F_atr.txt,"Despite feeling fearless about the challenge, I approached it with a passionate attitude."
Ses01M_impro12_M005,4,5,2,0.75,1.0,0.25,Ses01M_atr.txt,This outcome is excellent for me.
Ses01M_script12_M006,2,1,3,0.25,0.0,0.5,Ses01M_atr.txt,The results made everyone controlling.
Ses01F_impro12_F007,4,5,3,0.75,1.0,0.5,Ses01F_atr.txt,I've been feeling energetic lately.
Ses01M_script12_M008,2,5,4,0.25,1.0,0.75,Ses01M_atr.txt,"The feedback was mostly lovely, with some skilled comments mixed in."
Ses01M_impro12_M009,5,3,2,1.0,0.5,0.25,Ses01M_atr.txt,The feedback was insecure and helpful.
Ses01M_impro12_M010,3,1,4,0.5,0.0,0.75,Ses01M_atr.txt,I am sad about what happened.
Ses01M_script12_M011,3,4,4,0.5,0.75,0.75,Ses01M_atr.txt,This situation makes me feel efficient.
Ses01F_impro12_F012,5,3,1,1.0,0.5,0.0,Ses01F_atr.txt,The situation is insecure for all of us.
Ses01F_impro12_F013,1,5,4,0.0,1.0,0.75,Ses01F_atr.txt,The situation is positive for all of us.
Ses01M_script12_M014,4,3,2,0.75,0.5,0.25,Ses01M_atr.txt,My day has been agitated.
Ses01F_script12_F015,2,2,1,0.25,0.25,0.0,Ses01F_atr.txt,I can't help but feel powerless right now.
Ses01F_impro12_F016,3,5,4,0.5,1.0,0.75,Ses01F_atr.txt,The results made everyone frenzied.
Ses01F_impro12_F017,5,2,2,1.0,0.25,0.25,Ses01F_atr.txt,I am ineffective about what happened.
Ses01M_impro12_M018,2,3,3,0.25,0.5,0.5,Ses01M_atr.txt,I've been feeling excited lately.
Ses01F_impro12_F019,2,1,2,0.25,0.0,0.25,Ses01F_atr.txt,That experience was terrible.
Ses02M_script01_M001,5,3,5,1.0,0.5,1.0,Ses02M_atr.txt,I am competent about what happened.
Ses02F_impro01_F002,1,3,1,0.0,0.5,0.0,Ses02F_atr.txt,I feel inactive today.
Ses02M_script01_M003,2,2,5,0.25,0.25,1.0,Ses02M_atr.txt,The situation is indifferent for all of us.
Ses02M_impro01_M004,5,2,3,1.0,0.25,0.5,Ses02M_atr.txt,"The feedback was mostly passionate, with some stimulated comments mixed in."
Ses02F_impro01_F005,5,2,5,1.0,0.25,1.0,Ses02F_atr.txt,Everything seems bad at the moment.
Ses02M_script01_M006,4,1,4,0.75,0.0,0.75,Ses02M_atr.txt,That experience was tragic.
Ses02F_impro01_F007,1,3,1,0.0,0.5,0.0,Ses02F_atr.txt,"The project started out detached, but ended up being quite weak."
Ses02M_impro01_M008,2,4,1,0.25,0.75,0.0,Ses02M_atr.txt,"The team was placid about the deadline, but fearful about the quality of work."
Ses02F_script01_F009,3,2,3,0.5,0.25,0.5,Ses02F_atr.txt,"The feedback was mostly upset, with some upset comments mixed in."
Ses02M_script01_M010,5,2,5,1.0,0.25,1.0,Ses02M_atr.txt,The feedback was negative and helpful.
Ses02F_script01_F011,3,2,3,0.5,0.25,0.5,Ses02F_atr.txt,"I was gloomy at first, but after thinking about it, I feel inactive."
